id,productId,customerId,orderDate,marketplace,status,quantity,unitPrice,grossAmount,discountRate,commissionAmount,shippingCost,paymentMethod
NOVA-ORD-022,NOVA-PRD-004,NOVA-CUS-001,2026-05-20,Trendyol,completed,2,404.1,808.2,0.1,125.27,88.0,installment_card
NOVA-ORD-021,NOVA-PRD-002,NOVA-CUS-014,2026-05-22,Amazon TR,cancelled,1,1199.0,1199.0,0,203.83,98.0,installment_card
NOVA-ORD-026,NOVA-PRD-001,NOVA-CUS-010,2026-05-22,Hepsiburada,completed,1,664.05,664.05,0.05,106.25,52.0,installment_card
NOVA-ORD-039,NOVA-PRD-001,NOVA-CUS-006,2026-05-22,N11,completed,1,664.05,664.05,0.05,106.25,52.0,installment_card
NOVA-ORD-005,NOVA-PRD-004,NOVA-CUS-007,2026-05-23,Amazon TR,completed,2,449.0,898.0,0,139.19,88.0,wallet
NOVA-ORD-041,NOVA-PRD-003,NOVA-CUS-015,2026-05-23,N11,completed,1,284.05,284.05,0.05,42.61,39.0,card
NOVA-ORD-043,NOVA-PRD-001,NOVA-CUS-012,2026-05-23,Amazon TR,completed,1,594.15,594.15,0.15,95.06,52.0,installment_card
NOVA-ORD-013,NOVA-PRD-003,NOVA-CUS-005,2026-05-25,Amazon TR,completed,2,299.0,598.0,0,89.7,78.0,installment_card
NOVA-ORD-033,NOVA-PRD-001,NOVA-CUS-011,2026-05-25,Hepsiburada,completed,1,699.0,699.0,0,111.84,52.0,installment_card
NOVA-ORD-017,NOVA-PRD-001,NOVA-CUS-015,2026-05-26,Amazon TR,completed,2,594.15,1188.3,0.15,190.13,104.0,installment_card
NOVA-ORD-032,NOVA-PRD-003,NOVA-CUS-013,2026-05-26,Hepsiburada,completed,2,299.0,598.0,0,89.7,78.0,wallet
NOVA-ORD-038,NOVA-PRD-005,NOVA-CUS-014,2026-05-26,N11,completed,2,236.55,473.1,0.05,66.23,68.0,wallet
NOVA-ORD-014,NOVA-PRD-002,NOVA-CUS-005,2026-05-27,Amazon TR,shipped,1,1019.15,1019.15,0.15,173.26,98.0,wallet
NOVA-ORD-002,NOVA-PRD-002,NOVA-CUS-014,2026-05-28,Trendyol,cancelled,1,1019.15,1019.15,0.15,173.26,98.0,installment_card
NOVA-ORD-007,NOVA-PRD-005,NOVA-CUS-011,2026-05-28,Amazon TR,completed,2,249.0,498.0,0,69.72,68.0,card
NOVA-ORD-029,NOVA-PRD-003,NOVA-CUS-008,2026-05-28,N11,completed,1,299.0,299.0,0,44.85,39.0,wallet
NOVA-ORD-001,NOVA-PRD-003,NOVA-CUS-001,2026-05-29,Amazon TR,completed,1,269.1,269.1,0.1,40.37,39.0,installment_card
NOVA-ORD-024,NOVA-PRD-005,NOVA-CUS-005,2026-05-29,Trendyol,completed,1,211.65,211.65,0.15,29.63,34.0,card
NOVA-ORD-011,NOVA-PRD-002,NOVA-CUS-008,2026-05-30,N11,completed,1,1199.0,1199.0,0,203.83,98.0,wallet
NOVA-ORD-036,NOVA-PRD-003,NOVA-CUS-005,2026-05-30,Amazon TR,cancelled,2,299.0,598.0,0,89.7,78.0,wallet
